ID,addressLine1,addressLine2,city,stateProvince,postalCode
a0000001-0000-4000-8000-000000000001,12 MG Road,Indiranagar,Bengaluru,KA,560038
a0000002-0000-4000-8000-000000000002,45 Banjara Hills,Road No. 12,Hyderabad,TS,500034
a0000003-0000-4000-8000-000000000003,78 Linking Road,Bandra West,Mumbai,MH,400050
a0000004-0000-4000-8000-000000000004,22 Connaught Place,,New Delhi,DL,110001
a0000005-0000-4000-8000-000000000005,9 Koramangala 4th Block,Near Forum Mall,Bengaluru,KA,560034
a0000006-0000-4000-8000-000000000006,17 Jubilee Hills,Road No. 3,Hyderabad,TS,500033
a0000007-0000-4000-8000-000000000007,5 Andheri East,Marol Naka,Mumbai,MH,400059
a0000008-0000-4000-8000-000000000008,31 Karol Bagh,Ajmal Khan Road,New Delhi,DL,110005
a0000009-0000-4000-8000-000000000009,64 Whitefield,ITPL Main Road,Bengaluru,KA,560066
a0000010-0000-4000-8000-000000000010,101 MG Road,Shop No. 4,Bengaluru,KA,560001
a0000011-0000-4000-8000-000000000011,58 Banjara Hills,Main Road,Hyderabad,TS,500034
a0000012-0000-4000-8000-000000000012,23 Linking Road,Ground Floor,Mumbai,MH,400050
a0000013-0000-4000-8000-000000000013,7 Begumpet,Near Metro Station,Hyderabad,TS,500016
